50AA01-0820-4266	
This data for reference only	
704	0.5343
705	0.5345
706	0.5344
707	0.5346
708	0.5348
709	0.5349
710	0.5350
711	0.5351
712	0.5353
713	0.5354
714	0.5356
715	0.5358
716	0.5359
717	0.5360
718	0.5362
719	0.5362
720	0.5363
721	0.5365
722	0.5367
723	0.5369
724	0.5370
725	0.5371
726	0.5373
727	0.5374
728	0.5376
729	0.5377
730	0.5379
731	0.5378
732	0.5381
733	0.5381
734	0.5381
735	0.5384
736	0.5388
737	0.5388
738	0.5389
739	0.5389
740	0.5392
741	0.5393
742	0.5394
743	0.5397
744	0.5398
745	0.5400
746	0.5402
747	0.5402
748	0.5403
749	0.5406
750	0.5406
751	0.5407
752	0.5408
753	0.5409
754	0.5409
755	0.5410
756	0.5412
757	0.5415
758	0.5417
759	0.5418
760	0.5416
761	0.5419
762	0.5421
763	0.5420
764	0.5421
765	0.5422
766	0.5426
767	0.5425
768	0.5426
769	0.5428
770	0.5431
771	0.5433
772	0.5435
773	0.5436
774	0.5437
775	0.5437
776	0.5437
777	0.5441
778	0.5440
779	0.5442
780	0.5443
781	0.5444
782	0.5443
783	0.5445
784	0.5447
785	0.5450
786	0.5446
787	0.5448
788	0.5454
789	0.5455
790	0.5455
791	0.5455
792	0.5456
793	0.5459
794	0.5460
795	0.5464
796	0.5461
797	0.5462
798	0.5464
799	0.5464
800	0.5466
801	0.5468
802	0.5465
803	0.5470
804	0.5472
805	0.5469
806	0.5470
807	0.5477
808	0.5472
809	0.5479
810	0.5473
811	0.5475
812	0.5478
813	0.5481
814	0.5482
815	0.5478
816	0.5483
817	0.5485
818	0.5485
819	0.5488
820	0.5487
821	0.5488
822	0.5488
823	0.5494
824	0.5495
825	0.5498
826	0.5497
827	0.5497
828	0.5500
829	0.5505
830	0.5504
831	0.5505
832	0.5509
833	0.5512
834	0.5515
835	0.5518
836	0.5521
837	0.5524
838	0.5529
839	0.5527
840	0.5531
841	0.5536
842	0.5540
843	0.5533
844	0.5540
845	0.5550
846	0.5546
847	0.5550
848	0.5551
849	0.5553
850	0.5560
851	0.5560
852	0.5564
853	0.5561
854	0.5566
855	0.5574
856	0.5574
857	0.5578
858	0.5575
859	0.5577
860	0.5575
861	0.5546
862	0.5549
863	0.5549
864	0.5551
865	0.5553
866	0.5554
867	0.5555
868	0.5557
869	0.5558
870	0.5560
871	0.5562
872	0.5563
873	0.5564
874	0.5566
875	0.5567
876	0.5569
877	0.5570
878	0.5571
879	0.5573
880	0.5575
881	0.5576
882	0.5577
883	0.5577
884	0.5579
885	0.5581
886	0.5582
887	0.5583
888	0.5585
889	0.5586
890	0.5587
891	0.5588
892	0.5590
893	0.5591
894	0.5592
895	0.5593
896	0.5595
897	0.5596
898	0.5597
899	0.5598
900	0.5599
901	0.5601
902	0.5602
903	0.5603
904	0.5604
905	0.5605
906	0.5606
907	0.5607
908	0.5609
909	0.5610
910	0.5611
911	0.5612
912	0.5613
913	0.5614
914	0.5616
915	0.5617
916	0.5618
917	0.5619
918	0.5620
919	0.5621
920	0.5622
921	0.5623
922	0.5624
923	0.5626
924	0.5627
925	0.5628
926	0.5629
927	0.5631
928	0.5632
929	0.5632
930	0.5633
931	0.5635
932	0.5636
933	0.5637
934	0.5638
935	0.5639
936	0.5640
937	0.5642
938	0.5643
939	0.5644
940	0.5645
941	0.5646
942	0.5648
943	0.5649
944	0.5650
945	0.5651
946	0.5652
947	0.5653
948	0.5654
949	0.5655
950	0.5656
951	0.5657
952	0.5658
953	0.5660
954	0.5661
955	0.5662
956	0.5663
957	0.5664
958	0.5665
959	0.5666
960	0.5667
961	0.5668
962	0.5669
963	0.5670
964	0.5671
965	0.5672
966	0.5673
967	0.5675
968	0.5676
969	0.5677
970	0.5678
971	0.5679
972	0.5680
973	0.5682
974	0.5682
975	0.5683
976	0.5684
977	0.5686
978	0.5687
979	0.5688
980	0.5689
981	0.5690
982	0.5690
983	0.5692
984	0.5693
985	0.5694
986	0.5695
987	0.5696
988	0.5697
989	0.5698
990	0.5699
991	0.5700
992	0.5701
993	0.5702
994	0.5703
995	0.5704
996	0.5705
997	0.5706
998	0.5707
999	0.5709
1000	0.5709
1001	0.5710
1002	0.5711
1003	0.5712
1004	0.5714
1005	0.5715
1006	0.5715
1007	0.5717
1008	0.5718
1009	0.5719
1010	0.5719
1011	0.5721
1012	0.5722
1013	0.5723
1014	0.5724
1015	0.5725
1016	0.5726
1017	0.5727
1018	0.5728
1019	0.5729
1020	0.5730
1021	0.5732
1022	0.5732
1023	0.5733
1024	0.5734
1025	0.5736
1026	0.5737
1027	0.5738
1028	0.5739
1029	0.5740
1030	0.5741
1031	0.5742
1032	0.5743
1033	0.5744
1034	0.5745
1035	0.5747
1036	0.5747
1037	0.5748
1038	0.5749
1039	0.5750
1040	0.5752
1041	0.5752
1042	0.5753
1043	0.5754
1044	0.5755
1045	0.5756
1046	0.5757
1047	0.5758
1048	0.5759
1049	0.5759
1050	0.5760
1051	0.5762
1052	0.5763
1053	0.5764
1054	0.5765
1055	0.5766
1056	0.5768
1057	0.5769
1058	0.5770
1059	0.5771
1060	0.5772
1061	0.5773
1062	0.5774
1063	0.5775
1064	0.5775
1065	0.5776
1066	0.5777
1067	0.5778
1068	0.5779
1069	0.5780
1070	0.5781
1071	0.5782
1072	0.5783
1073	0.5784
1074	0.5785
1075	0.5786
