Wavelength (nm),intensity
950.5573733,127813
960.8117461,149479
971.0354262,167707
981.2284134,180206
990.1220996,185848
1000.257538,188159
1010.362283,187557
1020.436336,186973
1030.479696,186845
1040.492363,187358
1050.474338,187797
1059.183388,187664
1069.107813,187409
1079.001546,186245
1088.864585,185226
1098.696933,183699
1108.498587,182263
1118.269548,180223
1126.793962,178849
1136.507375,178215
1146.190094,178731
1155.842121,180545
1165.463456,183500
1175.054097,187782
1183.42073,192834
1192.953823,199730
1202.456223,207882
1211.927929,216744
1221.368944,225812
1230.779265,234564
1240.158893,242898
1248.340891,249209
1257.66297,254765
1266.954357,260121
1276.215051,266600
1285.445052,272817
1294.644361,277171
1303.812976,280040
1311.810337,281486
1320.921404,282316
1330.001778,281604
1339.051459,279700
1348.070448,275898
1357.058743,269670
1364.898324,264350
1373.829071,254816
1382.729124,243662
1391.598485,241707
1400.437154,245243
1409.245129,248783
1418.022412,250983
1425.677357,251850
1434.39709,252040
1443.086131,251617
1451.744479,250492
1460.372135,248148
1468.969097,245050
1477.535367,241133
1485.005676,237255
1493.514396,232160
1501.992424,227100
1510.43976,221348
1518.856402,215089
1527.242352,208372
1535.597609,201244
1542.883281,194340
1551.180989,185884
1559.448004,177218
1567.684327,168744
1575.889956,160097
1584.064893,151385
1591.192785,143725
1599.310173,134959
1607.396868,126169
1615.45287,117101
1623.47818,108117
1631.472797,99495
1639.436721,91230
1646.379976,84118
1654.286351,76038
1662.162034,67415
1670.007023,56973
1677.82132,43892
1685.604923,30072
1693.357835,19256
1700.116454,13089
