Wavelength (nm),intensity
950.5573733,179713
960.8117461,209992
971.0354262,235352
981.2284134,252249
990.1220996,259958
1000.257538,262693
1010.362283,261736
1020.436336,260443
1030.479696,260097
1040.492363,260581
1050.474338,260608
1059.183388,260380
1069.107813,259740
1079.001546,257992
1088.864585,256088
1098.696933,253723
1108.498587,251657
1118.269548,248643
1126.793962,246426
1136.507375,245500
1146.190094,245986
1155.842121,247923
1165.463456,252023
1175.054097,257814
1183.42073,264572
1192.953823,273816
1202.456223,284452
1211.927929,296557
1221.368944,308809
1230.779265,320693
1240.158893,331499
1248.340891,339748
1257.66297,346951
1266.954357,353994
1276.215051,362600
1285.445052,370847
1294.644361,376618
1303.812976,380276
1311.810337,381924
1320.921404,382357
1330.001778,381558
1339.051459,379022
1348.070448,373281
1357.058743,364756
1364.898324,357053
1373.829071,344215
1382.729124,329020
1391.598485,326386
1400.437154,330559
1409.245129,335463
1418.022412,338389
1425.677357,339243
1434.39709,339541
1443.086131,338775
1451.744479,337007
1460.372135,333670
1468.969097,329255
1477.535367,323679
1485.005676,318430
1493.514396,311814
1501.992424,304473
1510.43976,296879
1518.856402,288431
1527.242352,279027
1535.597609,269432
1542.883281,260124
1551.180989,248965
1559.448004,237270
1567.684327,225697
1575.889956,214169
1584.064893,202451
1591.192785,191930
1599.310173,180316
1607.396868,168521
1615.45287,156390
1623.47818,144630
1631.472797,132888
1639.436721,121706
1646.379976,111971
1654.286351,101278
1662.162034,89835
1670.007023,75808
1677.82132,58175
1685.604923,39635
1693.357835,25560
1700.116454,17332
