Wavelength (nm),intensity
950.5573733,219286
960.8117461,255541
971.0354262,286155
981.2284134,306431
990.1220996,315576
1000.257538,318495
1010.362283,316844
1020.436336,315423
1030.479696,314421
1040.492363,314694
1050.474338,314783
1059.183388,314102
1069.107813,312968
1079.001546,310757
1088.864585,308292
1098.696933,305394
1108.498587,302287
1118.269548,298806
1126.793962,296050
1136.507375,294254
1146.190094,294875
1155.842121,297191
1165.463456,301599
1175.054097,308384
1183.42073,316224
1192.953823,327110
1202.456223,339683
1211.927929,353833
1221.368944,368249
1230.779265,382205
1240.158893,394877
1248.340891,404436
1257.66297,412813
1266.954357,421084
1276.215051,430722
1285.445052,440417
1294.644361,446930
1303.812976,451033
1311.810337,452834
1320.921404,453389
1330.001778,451866
1339.051459,448594
1348.070448,441493
1357.058743,430655
1364.898324,421474
1373.829071,406202
1382.729124,387918
1391.598485,384548
1400.437154,389786
1409.245129,395052
1418.022412,398720
1425.677357,399718
1434.39709,399653
1443.086131,398596
1451.744479,396253
1460.372135,392567
1468.969097,387085
1477.535367,380278
1485.005676,373799
1493.514396,365942
1501.992424,357634
1510.43976,348237
1518.856402,338137
1527.242352,327231
1535.597609,315791
1542.883281,304740
1551.180989,291267
1559.448004,277738
1567.684327,264051
1575.889956,250430
1584.064893,236888
1591.192785,224392
1599.310173,210715
1607.396868,196644
1615.45287,182540
1623.47818,168445
1631.472797,155186
1639.436721,141724
1646.379976,130478
1654.286351,117705
1662.162034,104509
1670.007023,87744
1677.82132,66993
1685.604923,45477
1693.357835,28973
1700.116454,19981
