99AA04-0920-4786	
This data is for reference only	
250	0.9502
251	0.9519
252	0.9519
253	0.9525
254	0.9535
255	0.9530
256	0.9539
257	0.9537
258	0.9537
259	0.9535
260	0.9541
261	0.9543
262	0.9546
263	0.9552
264	0.9542
265	0.9542
266	0.9543
267	0.9544
268	0.9540
269	0.9540
270	0.9543
271	0.9547
272	0.9541
273	0.9533
274	0.9539
275	0.9553
276	0.9551
277	0.9552
278	0.9557
279	0.9567
280	0.9567
281	0.9568
282	0.9582
283	0.9583
284	0.9599
285	0.9616
286	0.9622
287	0.9644
288	0.9669
289	0.9689
290	0.9706
291	0.9721
292	0.9735
293	0.9741
294	0.9745
295	0.9755
296	0.9761
297	0.9756
298	0.9763
299	0.9769
300	0.9774
301	0.9781
302	0.9782
303	0.9782
304	0.9786
305	0.9793
306	0.9791
307	0.9799
308	0.9807
309	0.9809
310	0.9805
311	0.9806
312	0.9804
313	0.9803
314	0.9812
315	0.9814
316	0.9817
317	0.9824
318	0.9828
319	0.9830
320	0.9844
321	0.9833
322	0.9829
323	0.9838
324	0.9844
325	0.9849
326	0.9854
327	0.9850
328	0.9852
329	0.9847
330	0.9843
331	0.9848
332	0.9845
333	0.9862
334	0.9869
335	0.9864
336	0.9858
337	0.9865
338	0.9861
339	0.9852
340	0.9864
341	0.9871
342	0.9880
343	0.9882
344	0.9879
345	0.9878
346	0.9871
347	0.9881
348	0.9885
349	0.9878
350	0.9875
351	0.9873
352	0.9884
353	0.9875
354	0.9892
355	0.9891
356	0.9881
357	0.9887
358	0.9895
359	0.9897
360	0.9883
361	0.9885
362	0.9884
363	0.9877
364	0.9893
365	0.9879
366	0.9889
367	0.9888
368	0.9892
369	0.9887
370	0.9882
371	0.9887
372	0.9898
373	0.9887
374	0.9877
375	0.9891
376	0.9882
377	0.9883
378	0.9907
379	0.9898
380	0.9895
381	0.9889
382	0.9888
383	0.9895
384	0.9892
385	0.9887
386	0.9889
387	0.9898
388	0.9891
389	0.9894
390	0.9891
391	0.9893
392	0.9887
393	0.9886
394	0.9896
395	0.9893
396	0.9898
397	0.9905
398	0.9897
399	0.9901
400	0.9894
401	0.9895
402	0.9899
403	0.9896
404	0.9894
405	0.9894
406	0.9895
407	0.9892
408	0.9893
409	0.9894
410	0.9894
411	0.9896
412	0.9898
413	0.9893
414	0.9893
415	0.9892
416	0.9904
417	0.9892
418	0.9896
419	0.9898
420	0.9898
421	0.9900
422	0.9891
423	0.9895
424	0.9898
425	0.9895
426	0.9899
427	0.9894
428	0.9897
429	0.9894
430	0.9897
431	0.9895
432	0.9892
433	0.9895
434	0.9896
435	0.9897
436	0.9896
437	0.9896
438	0.9896
439	0.9891
440	0.9896
441	0.9896
442	0.9896
443	0.9896
444	0.9894
445	0.9896
446	0.9898
447	0.9899
448	0.9896
449	0.9897
450	0.9896
451	0.9894
452	0.9896
453	0.9892
454	0.9894
455	0.9895
456	0.9897
457	0.9898
458	0.9896
459	0.9894
460	0.9893
461	0.9892
462	0.9897
463	0.9896
464	0.9893
465	0.9893
466	0.9896
467	0.9893
468	0.9896
469	0.9894
470	0.9896
471	0.9897
472	0.9897
473	0.9895
474	0.9899
475	0.9896
476	0.9899
477	0.9899
478	0.9899
479	0.9898
480	0.9898
481	0.9901
482	0.9900
483	0.9900
484	0.9900
485	0.9901
486	0.9903
487	0.9903
488	0.9906
489	0.9905
490	0.9905
491	0.9904
492	0.9902
493	0.9904
494	0.9903
495	0.9902
496	0.9901
497	0.9901
498	0.9900
499	0.9902
500	0.9903
501	0.9900
502	0.9900
503	0.9900
504	0.9900
505	0.9902
506	0.9901
507	0.9903
508	0.9904
509	0.9903
510	0.9903
511	0.9904
512	0.9901
513	0.9899
514	0.9898
515	0.9896
516	0.9900
517	0.9902
518	0.9900
519	0.9899
520	0.9898
521	0.9899
522	0.9899
523	0.9898
524	0.9898
525	0.9900
526	0.9898
527	0.9899
528	0.9901
529	0.9900
530	0.9899
531	0.9899
532	0.9898
533	0.9897
534	0.9899
535	0.9900
536	0.9900
537	0.9900
538	0.9900
539	0.9899
540	0.9900
541	0.9898
542	0.9900
543	0.9899
544	0.9899
545	0.9900
546	0.9900
547	0.9900
548	0.9901
549	0.9898
550	0.9901
551	0.9903
552	0.9905
553	0.9899
554	0.9898
555	0.9900
556	0.9901
557	0.9901
558	0.9900
559	0.9901
560	0.9903
561	0.9902
562	0.9900
563	0.9896
564	0.9897
565	0.9899
566	0.9900
567	0.9899
568	0.9900
569	0.9900
570	0.9897
571	0.9898
572	0.9899
573	0.9897
574	0.9897
575	0.9898
576	0.9899
577	0.9900
578	0.9899
579	0.9901
580	0.9901
581	0.9900
582	0.9900
583	0.9899
584	0.9899
585	0.9898
586	0.9901
587	0.9899
588	0.9901
589	0.9899
590	0.9900
591	0.9900
592	0.9900
593	0.9899
594	0.9899
595	0.9898
596	0.9898
597	0.9901
598	0.9899
599	0.9898
600	0.9898
601	0.9900
602	0.9900
603	0.9901
604	0.9901
605	0.9898
606	0.9899
607	0.9898
608	0.9900
609	0.9900
610	0.9902
611	0.9897
612	0.9897
613	0.9899
614	0.9903
615	0.9899
616	0.9901
617	0.9900
618	0.9899
619	0.9899
620	0.9901
621	0.9901
622	0.9902
623	0.9901
624	0.9898
625	0.9900
626	0.9899
627	0.9899
628	0.9897
629	0.9899
630	0.9900
631	0.9898
632	0.9897
633	0.9900
634	0.9900
635	0.9897
636	0.9898
637	0.9900
638	0.9897
639	0.9897
640	0.9897
641	0.9900
642	0.9897
643	0.9895
644	0.9900
645	0.9898
646	0.9897
647	0.9898
648	0.9899
649	0.9899
650	0.9900
651	0.9897
652	0.9898
653	0.9897
654	0.9896
655	0.9895
656	0.9898
657	0.9898
658	0.9896
659	0.9899
660	0.9896
661	0.9896
662	0.9899
663	0.9899
664	0.9897
665	0.9898
666	0.9897
667	0.9897
668	0.9898
669	0.9898
670	0.9898
671	0.9898
672	0.9899
673	0.9899
674	0.9898
675	0.9898
676	0.9897
677	0.9897
678	0.9895
679	0.9895
680	0.9896
681	0.9896
682	0.9896
683	0.9898
684	0.9897
685	0.9897
686	0.9895
687	0.9897
688	0.9898
689	0.9896
690	0.9896
691	0.9897
692	0.9898
693	0.9896
694	0.9897
695	0.9898
696	0.9897
697	0.9896
698	0.9895
699	0.9896
700	0.9896
701	0.9897
702	0.9897
703	0.9896
704	0.9899
705	0.9899
706	0.9896
707	0.9897
708	0.9898
709	0.9897
710	0.9895
711	0.9893
712	0.9893
713	0.9895
714	0.9897
715	0.9900
716	0.9899
717	0.9896
718	0.9896
719	0.9894
720	0.9891
721	0.9895
722	0.9896
723	0.9895
724	0.9896
725	0.9896
726	0.9895
727	0.9896
728	0.9895
729	0.9893
730	0.9894
731	0.9892
732	0.9893
733	0.9892
734	0.9891
735	0.9893
736	0.9897
737	0.9895
738	0.9895
739	0.9894
740	0.9894
741	0.9895
742	0.9895
743	0.9894
744	0.9895
745	0.9897
746	0.9896
747	0.9892
748	0.9893
749	0.9897
750	0.9894
751	0.9894
752	0.9896
753	0.9893
754	0.9892
755	0.9894
756	0.9892
757	0.9894
758	0.9892
759	0.9893
760	0.9889
761	0.9891
762	0.9892
763	0.9888
764	0.9891
765	0.9890
766	0.9892
767	0.9890
768	0.9893
769	0.9889
770	0.9889
771	0.9890
772	0.9894
773	0.9891
774	0.9890
775	0.9887
776	0.9881
777	0.9888
778	0.9884
779	0.9888
780	0.9886
781	0.9889
782	0.9885
783	0.9885
784	0.9887
785	0.9888
786	0.9883
787	0.9885
788	0.9892
789	0.9889
790	0.9887
791	0.9885
792	0.9880
793	0.9885
794	0.9885
795	0.9893
